"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 01 15:21:17 GMT 2022","Wed Jun 01 15:21:52 GMT 2022","34351","","WikipediaTest","","WikipediaTest","findAParagraph","findAParagraph()",""
"failed","Wed Jun 01 15:21:13 GMT 2022","Wed Jun 01 15:21:17 GMT 2022","4537","","WikipediaTest","","WikipediaTest","searchFrameworkWikipedia","searchFrameworkWikipedia()",""
"passed","Wed Jun 01 15:21:00 GMT 2022","Wed Jun 01 15:21:05 GMT 2022","4470","","WikipediaTest","","WikipediaTest","loginWikipedia","loginWikipedia()",""
"passed","Wed Jun 01 15:21:52 GMT 2022","Wed Jun 01 15:21:56 GMT 2022","4421","","WikipediaTest","","WikipediaTest","searchSeleniumWikipedia","searchSeleniumWikipedia()",""
"passed","Wed Jun 01 15:21:05 GMT 2022","Wed Jun 01 15:21:13 GMT 2022","7829","","WikipediaTest","","WikipediaTest","setFontStyle","setFontStyle()",""
